strain,parental,deletion,inversion,complex,duplicated junction,duplicated internal junction
JS721,6,3,3,0,8,2
JS621,30,3,0,0,2,0
JS627,38,2,0,0,0,0
JS715,29,4,2,0,0,0
JS728,28,1,2,0,0,0
JS599,20,3,5,2,14,0
JS605,38,2,0,0,0,0
JS613,12,3,5,1,14,0
JS624,30,2,4,0,0,0
JS727,31,2,4,0,0,0
JS612,34,3,2,0,0,0
JS274,38,1,2,0,0,0
JS629,33,2,0,0,0,0
JS714,36,1,0,0,0,0
JS716,31,1,0,0,0,0
JS717,37,1,0,0,0,0
JS611,39,0,2,0,0,0
JS610,36,3,0,0,0,0
JS712,32,2,1,0,4,0
JS713,23,2,2,0,0,0
JS615,28,0,0,1,6,0
JS711,19,5,6,1,12,0
JS734,15,2,3,1,6,0
JS738,31,1,6,0,0,0
JS736,34,2,0,0,0,0
JS737,23,3,0,0,0,0
JS730,32,2,0,0,0,0
JS731,21,2,4,1,20,0
JS718,33,1,0,0,0,0
JS733,32,1,2,0,0,0
JS602,19,5,7,2,6,0
JS625,40,1,0,0,0,0
JS710,17,2,4,2,27,0
JS732,26,3,5,1,13,1
JS571,25,2,6,0,0,0
JS614,35,1,0,0,6,0
JS623,36,2,2,0,0,0
JS607,26,3,9,0,12,0
JS726,29,3,4,0,0,0
JS606,27,4,4,0,4,0
JS622,30,2,4,0,0,0
JS618,27,2,2,0,0,0
JS735,13,1,5,0,17,0
JS626,34,1,4,0,0,0
JS617,13,2,3,0,23,0
JS739,33,2,2,0,0,0
JS706,18,1,4,1,6,0
JS708,34,2,0,0,0,0
JS723,28,0,1,0,4,0
JS722,29,3,2,0,4,0
JS707,16,2,3,1,36,0
JS720,27,1,5,0,4,0
JS608,32,3,2,0,0,0
JS609,19,4,3,3,12,1
JS725,33,2,0,0,0,0
JS724,27,3,2,0,2,0
JS604,19,1,2,3,7,0
JS705,23,3,0,0,11,0
JS729,26,1,3,1,2,0
JS719,28,4,2,0,0,0
JS709,12,6,9,2,16,1
JS601,30,1,0,0,4,0
JS628,31,1,0,0,8,1
JS603,21,2,8,1,17,0
